"Name","Round","System","Parameter","Value","Month"
"GN2C","Round 1 (March)","Hand pump","Turbidity (NTU)","0.21","Mar-20"
"GN2M","Round 1 (March)","Mechanized borehole","Turbidity (NTU)","1.28","Mar-20"
"DA1","Round 1 (March)","Hand pump","Turbidity (NTU)","0","Mar-20"
"DA2","Round 1 (March)","Hand pump","Turbidity (NTU)","0","Mar-20"
"DJ","Round 1 (March)","Hand pump","Turbidity (NTU)","0","Mar-20"
"KEN","Round 1 (March)","Mechanized borehole","Turbidity (NTU)","0","Mar-20"
"OLA","Round 1 (March)","Piped system","Turbidity (NTU)","46.59","Mar-20"
"KPS","Round 1 (March)","Piped system","Turbidity (NTU)","0","Mar-20"
"NR","Round 1 (March)","Piped system","Turbidity (NTU)","0","Mar-20"
"NPS","Round 1 (March)","Piped system","Turbidity (NTU)","0","Mar-20"
"GN2C","Round 2 (April)","Hand pump","Turbidity (NTU)","0.01","Apr-20"
"GN2M","Round 2 (April)","Mechanized borehole","Turbidity (NTU)","0","Apr-20"
"DA1","Round 2 (April)","Hand pump","Turbidity (NTU)","0.02","Apr-20"
"DA2","Round 2 (April)","Hand pump","Turbidity (NTU)","0","Apr-20"
"DJ","Round 2 (April)","Hand pump","Turbidity (NTU)","0","Apr-20"
"KEN","Round 2 (April)","Mechanized borehole","Turbidity (NTU)","0","Apr-20"
"OLA","Round 2 (April)","Piped system","Turbidity (NTU)","0.92","Apr-20"
"KPS","Round 2 (April)","Piped system","Turbidity (NTU)","0","Apr-20"
"NR","Round 2 (April)","Piped system","Turbidity (NTU)","0","Apr-20"
"NPS","Round 2 (April)","Piped system","Turbidity (NTU)","0","Apr-20"
"GN2C","Round 3 (May)","Hand pump","Turbidity (NTU)","0","May-20"
"GN2M","Round 3 (May)","Mechanized borehole","Turbidity (NTU)","0.02","May-20"
"DA1","Round 3 (May)","Hand pump","Turbidity (NTU)","0","May-20"
"DA2","Round 3 (May)","Hand pump","Turbidity (NTU)","0","May-20"
"DJ","Round 3 (May)","Hand pump","Turbidity (NTU)","0","May-20"
"KEN","Round 3 (May)","Mechanized borehole","Turbidity (NTU)","0.01","May-20"
"OLA","Round 3 (May)","Piped system","Turbidity (NTU)","4.19","May-20"
"KPS","Round 3 (May)","Piped system","Turbidity (NTU)","0.08","May-20"
"NR","Round 3 (May)","Piped system","Turbidity (NTU)","0","May-20"
"NPS","Round 3 (May)","Piped system","Turbidity (NTU)","0.44","May-20"
"GN2C","Round 4 (June)","Hand pump","Turbidity (NTU)","0","Jun-20"
"GN2M","Round 4 (June)","Mechanized borehole","Turbidity (NTU)","0.01","Jun-20"
"DA1","Round 4 (June)","Hand pump","Turbidity (NTU)","0","Jun-20"
"DA2","Round 4 (June)","Hand pump","Turbidity (NTU)","0.02","Jun-20"
"DJ","Round 4 (June)","Hand pump","Turbidity (NTU)","0","Jun-20"
"KEN","Round 4 (June)","Mechanized borehole","Turbidity (NTU)","0","Jun-20"
"OLA","Round 4 (June)","Piped system","Turbidity (NTU)","0.54","Jun-20"
"KPS","Round 4 (June)","Piped system","Turbidity (NTU)","0","Jun-20"
"NR","Round 4 (June)","Piped system","Turbidity (NTU)","0","Jun-20"
"NPS","Round 4 (June)","Piped system","Turbidity (NTU)","0.01","Jun-20"
"GN2C","Round 5 (July)","Hand pump","Turbidity (NTU)","0","Jul-20"
"GN2M","Round 5 (July)","Mechanized borehole","Turbidity (NTU)","0.04","Jul-20"
"DA1","Round 5 (July)","Hand pump","Turbidity (NTU)","0","Jul-20"
"DA2","Round 5 (July)","Hand pump","Turbidity (NTU)","0","Jul-20"
"DJ","Round 5 (July)","Hand pump","Turbidity (NTU)","0","Jul-20"
"KEN","Round 5 (July)","Mechanized borehole","Turbidity (NTU)","0","Jul-20"
"OLA","Round 5 (July)","Piped system","Turbidity (NTU)","5.27","Jul-20"
"KPS","Round 5 (July)","Piped system","Turbidity (NTU)","0","Jul-20"
"NR","Round 5 (July)","Piped system","Turbidity (NTU)","0","Jul-20"
"NPS","Round 5 (July)","Piped system","Turbidity (NTU)","0","Jul-20"
